title,budget,revenue,profit,log_budget,log_revenue,release_year,main_genre,runtime,vote_average,language_group,popularity
Under Siege 2: Dark Territory,60000000,104324083,44324083,17.909855136853043,18.46301280414933,1995,Action,100.0,5.6,en,13.080725
Jack Ryan: Shadow Recruit,60000000,50549107,-9450893,17.909855136853043,17.73845585737991,2014,Action,105.0,5.9,en,42.538258
Joy,60000000,101134059,41134059,17.909855136853043,18.4319575214188,2015,Drama,124.0,6.4,en,29.876507
London Has Fallen,60000000,205754447,145754447,17.909855136853043,19.142194015756793,2016,Action,99.0,5.8,en,61.849521
Alien: Resurrection,70000000,162000000,92000000,18.064005814299346,18.903106899369497,1997,Science Fiction,109.0,5.9,en,37.44963
Shooter,61000000,95696996,34696996,17.926384438531027,18.376697476620496,2007,Action,124.0,6.9,en,37.378081
The Boxtrolls,60000000,108255770,48255770,17.909855136853043,18.50000723520414,2014,Animation,97.0,6.6,en,30.656345
Miss Congeniality 2: Armed and Fabulous,0,0,0,0.0,0.0,2005,Action,115.0,5.3,en,19.998581
Reign of Fire,60000000,43061982,-16938018,17.909855136853043,17.578151100860566,2002,Adventure,101.0,6.0,en,27.615108
Gangster Squad,60000000,105200903,45200903,17.909855136853043,18.471382451386855,2013,Crime,113.0,6.2,en,29.041198
Year One,60000000,62357900,2357900,17.909855136853043,17.94840094219031,2009,Comedy,97.0,4.6,en,25.293538
Invictus,60000000,122233971,62233971,17.909855136853043,18.62144756933934,2009,Drama,134.0,7.0,en,23.85119
State of Play,60000000,87784194,27784194,17.909855136853043,18.29039203101183,2009,Action,127.0,6.7,en,21.685719
My Favorite Martian,65000000,36850101,-28149899,17.989897843244528,17.422368944574078,1999,Comedy,94.0,5.1,en,6.80692
The Sentinel,60000000,77920346,17920346,17.909855136853043,18.17119767057406,2006,Action,108.0,5.8,en,15.352807
Planet 51,70000000,104945765,34945765,18.064005814299346,18.46895426039663,2009,Science Fiction,91.0,5.6,en,23.661071
Star Trek: Nemesis,60000000,67312826,7312826,17.909855136853043,18.024861370807802,2002,Science Fiction,117.0,6.1,en,21.605533
Intolerable Cruelty,60000000,119940815,59940815,17.909855136853043,18.602508979083197,2003,Crime,100.0,5.8,en,22.620125
Trouble with the Curve,0,0,0,0.0,0.0,2012,Drama,111.0,6.6,en,18.587114
The Relic,60000000,33956608,-26043392,17.909855136853043,17.34059406165384,1997,Horror,110.0,5.8,en,12.621769
Analyze That,60000000,55003135,-4996865,17.909855136853043,17.82290075975309,2002,Comedy,96.0,5.7,en,21.08952
Righteous Kill,60000000,73174566,13174566,17.909855136853043,18.108358473203225,2008,Action,101.0,5.9,en,18.380176
Mercury Rising,60000000,0,-60000000,17.909855136853043,0.0,1998,Action,111.0,6.0,en,18.877795
The Soloist,60000000,31720158,-28279842,17.909855136853043,17.2724629673287,2009,Drama,109.0,6.6,en,17.299333
Almost Famous,60000000,47383689,-12616311,17.909855136853043,17.67378863462478,2000,Drama,122.0,7.4,en,21.547446
Garfield: A Tail of Two Kitties,0,141702264,141702264,0.0,18.7692386890074,2006,Animation,78.0,5.1,en,16.930969
xXx: State of the Union,60000000,71073932,11073932,17.909855136853043,18.07923120307771,2005,Action,101.0,4.7,en,36.689223
Priest,60000000,78309131,18309131,17.909855136853043,18.176174782512966,2011,Action,87.0,5.4,en,28.350927
Sinbad: Legend of the Seven Seas,60000000,26288320,-33711680,17.909855136853043,17.08463533007934,2003,Family,86.0,6.6,en,18.815442
Event Horizon,60000000,26673242,-33326758,17.909855136853043,17.099171486066183,1997,Horror,96.0,6.5,en,29.787135
Dragonfly,60000000,52322400,-7677600,17.909855136853043,17.772935154733055,2002,Drama,104.0,6.1,en,8.927137
The Black Dahlia,50000000,49111202,-888798,17.72753358339242,17.709597733744726,2006,Drama,121.0,5.7,en,15.213484
Flyboys,60000000,17800000,-42200000,17.909855136853043,16.694709071442087,2006,Action,140.0,6.3,en,13.155999
